UniqueId,Name,DOB,Address,Bank Balance
GBD27,Calvin Kennedy,02-21-20,Ap #873-6883 Dolor Rd.,1000
UST78,Emmanuel Tucker,02-06-20,599-528 Ut St.,1500
DRD58,Jameson Webster,07-17-20,560-3742 Malesuada Avenue,100
RVJ82,Thor Weeks,11-02-18,601-753 Pretium Av.,4000
DEQ79,Hoyt Wagner,10-05-19,"Ap #589-7864 Vulputate, Av.",100000
IZI82,Jeremy Sosa,10-31-18,Ap #411-6268 Interdum. Avenue,5005
LRK69,Dillon Holloway,01-18-19,583 Rhoncus. St.,6500
AYQ74,Vladimir Simmons,03-07-20,"P.O. Box 121, 9074 Primis Av.",5800
RZN42,Mohammad Burris,07-19-19,"Ap #634-640 Auctor, Road",7000
ZHO45,Gregory Reed,04-29-19,695-1592 Felis Ave,55000
AZZ32,Garth Booker,12-24-19,Ap #751-4565 Egestas. Road,12300
IXX38,Garrett Haynes,10-28-19,"P.O. Box 384, 4269 Eget, Av.",1000
REA04,Trevor Rush,12-28-19,8446 Convallis St.,1500
MLU04,Kareem Paul,05-23-20,Ap #999-2757 Fusce Road,100
DFR26,Carter Mitchell,06-05-19,839-1782 Leo Ave,4000
FIK37,Magee Chase,12-10-18,3172 Porttitor Street,100000
VVE22,Len Harding,01-22-19,5119 Fusce Road,5005
KNN48,Lucas Sheppard,04-02-19,643 Eget Ave,6500
XTN35,Sylvester Valenzuela,06-04-20,Ap #421-5321 Blandit St.,5800
BUK72,Todd Fowler,11-28-19,3156 Ornare Road,7000
UZY61,Carlos Snyder,08-11-20,219-6770 Ante St.,55000
MVF47,Raphael Mathews,02-04-19,Ap #290-1367 A Ave,12300
PMM03,Colton Fitzgerald,07-02-20,6624 Sem. Av.,4000
MGL86,Josiah Reed,05-12-19,"Ap #340-8405 Non, Rd.",100000
ICJ77,Calvin Duran,10-04-19,Ap #770-2401 Ornare. Rd.,5005
MFR88,Blaze Jenkins,06-29-19,"P.O. Box 173, 6586 Non, Rd.",6500
OWC10,Harper Ochoa,07-23-20,Ap #510-2133 Id Av.,5800
UTL71,Kadeem Dominguez,03-24-20,Ap #951-3523 Sociis Av.,7000
WQU16,Walker Burris,03-31-19,5655 Egestas. St.,55000
JTA49,Gavin Saunders,06-01-20,"9838 Et, Rd.",1000
XHI54,Reese Mckay,02-23-20,Ap #552-2398 Varius Ave,1500
EKZ19,Steven Cardenas,08-31-19,950-2455 Lacus. Street,100
QAU20,Cairo Huff,04-09-20,1615 Dui Av.,4000
GPD02,Uriel Langley,03-21-20,796-6122 Tortor Av.,100000
LSP14,Kaseem Byers,12-06-19,"P.O. Box 152, 643 Egestas. Avenue",5005
USM29,Conan Peck,03-12-19,"P.O. Box 349, 1307 Duis St.",6500
DEF82,Clark Mcgee,10-29-18,133-9059 Ut Rd.,5800
ZPS18,Jeremy Giles,07-30-19,"P.O. Box 350, 9501 Fringilla St.",7000
ZRE89,Chandler Fields,04-17-20,244-9580 Sit St.,55000
BGR14,Quinlan Hogan,01-19-19,781-8395 Diam. Road,12300
YOP40,Tiger Bentley,08-21-19,Ap #130-2989 Malesuada Av.,1000
LJE39,Christian Tyson,10-20-19,Ap #826-8362 Tellus Rd.,1500
