UniqueId|Name|DOB|Address|Mobile|Police Case|Duration,,
DEU33|Alvin Cervantes|08/09/20|Ap #297-3127 Consectetuer Rd.|1629031819299|YES|3,,
AGL85|Rafael Sawyer|10/07/19|Ap #926-3139 Auctor St.|1628072070299|NO|19,,
BSV11|Hector Austin|12/06/18|P.O. Box 866,5779 Amet Rd.|1608071685199|NO|4,
LSL30|Brent Shepherd|11/02/18|P.O. Box 712,5463 Id Road|1691070238499|YES|13,
XFO91|Aidan Terrell|08/21/19|Ap #432-6741 Ultrices. St.|1633060648099|YES|9,,
IWU94|Otto Peters|12/27/18|591-4437 Magna. Av.|1692050342899|NO|12,,
NPF27|Matthew Bean|11/12/18|843-7062 Cras Rd.|1684010152999|NO|18,,
PQJ59|Keegan Johns|12/30/19|6836 Magna. Ave|1657101493699|NO|20,,
CYQ06|Gannon Tyson|01/10/20|P.O. Box 951,745 Varius Av.|1657081701399|NO|7,
TKD50|Edan Finch|11/13/18|318-2202 Proin St.|1689082695099|NO|2,,
EZG09|Oleg Sanchez|09/27/19|263 Eros St.|1659031292999|YES|19,,
NRU63|Edward Cote|04/23/20|260-3474 Ornare. Ave|1612111785799|YES|18,,
WJB10|Roth Rutledge|09/07/19|363-2737 Mauris Road|1673061637199|YES|12,,
PDF39|Mason Jones|02/10/20|1082 Amet Av.|1610020724599|NO|5,,
EUN92|Jelani Huber|07/01/19|Ap #503-9883 Nisl. Rd.|1603102435999|NO|8,,
MDR01|Silas Kerr|06/20/20|3887 Urna Ave|1611070843399|YES|15,,
HVV38|Wyatt Richard|12/22/18|5827 Dolor. St.|1687042064499|YES|6,,
RSC34|Ignatius Strickland|06/07/20|788-2854 Ac Rd.|1606110909799|NO|15,,
HIH48|Beau Nielsen|12/18/19|1981 Volutpat. Ave|1608041311499|YES|11,,
GUZ69|Elijah Kane|03/02/20|P.O. Box 403,611 Maecenas Ave|1685051118399|NO|17,
FGK44|Herrod Sears|04/14/20|P.O. Box 825,5894 Non,Ave|1602040399199|NO|11
OOY88|Jeremy Lamb|01/03/20|965-7640 Sem Road|1638033060099|NO|16,,
QKJ43|Sylvester Soto|04/11/20|Ap #311-7871 Adipiscing Rd.|1632020155199|YES|3,,
YTX61|Herrod Logan|12/21/19|8167 Cras St.|1651021861699|YES|13,,
SLE78|Charles Todd|10/21/18|6846 Non,Rd.|1610122427999|NO|2,
YWQ30|Baker Levy|08/05/20|P.O. Box 788,3913 Eleifend,Av.|1601071421799|NO|8
