UniqueId|Name|DOB|Address|Mobile|Account No|Balance
OQD46|Alden Cooper|11/23/18|Ap #941-9473 Ipsum Ave|1658120421999|1636091368099|9259
IPG84|Roth Koch|04/18/20|P.O. Box 733, 4364 Lorem, Avenue|1607072457799|1655092401899|8254
YQC27|Asher Bradley|06/08/19|Ap #334-7188 Interdum Rd.|1620112270799|1672120744299|6802
GWD47|Calvin Burnett|02/28/19|Ap #268-176 Magna Avenue|1626051106999|1659032375699|7081
NVF99|Hakeem Fitzgerald|03/07/19|4693 Nulla St.|1626011471999|1634071417899|1682
URN47|Peter Mcdonald|08/28/20|436-7970 Cursus Rd.|1638111836499|1657080823699|7781
KEQ74|Julian Bauer|09/03/19|2082 Adipiscing Avenue|1652091852799|1639052407799|9670
QAB56|Keith Jackson|10/31/18|220-4250 Integer Rd.|1699021601099|1677090944099|9189
LEF90|Griffith Burch|08/02/19|9984 Erat. Rd.|1616022633299|1644082602299|9402
PUW70|Elmo Parks|04/09/19|P.O. Box 550, 2173 Nunc Av.|1667102685199|1617012938399|7624
DNE41|Flynn Warner|03/03/19|P.O. Box 635, 4549 Eu Ave|1654071210599|1662050424499|1536
ZHX53|Geoffrey Brooks|09/14/20|6572 Pharetra. St.|1649011864099|1610092281499|1944
ZQR34|Brett Best|05/22/20|Ap #807-219 Mauris Avenue|1651062569299|1645091230999|1377
MUE49|Leonard Howe|01/24/20|823-1945 Metus. Rd.|1624040587699|1610100597499|3608
QFK38|Kareem Lopez|09/08/19|P.O. Box 316, 4476 Auctor Street|1688081351899|1690030897699|5225
GVP78|Gil Huber|09/16/20|7159 Dictum Rd.|1664112967899|1619010213999|2332
LCV53|Phelan King|11/06/18|P.O. Box 749, 4760 Diam St.|1607121652699|1673120752899|8702
TVY71|Plato Cotton|12/23/19|P.O. Box 725, 3956 Dui, Rd.|1613060864999|1637021611299|9733
JBI99|Leo Newman|12/06/19|P.O. Box 986, 9473 Sit Ave|1672031197099|1662092414899|1795
IWC67|Cairo Ellis|10/30/18|1916 Auctor Rd.|1651110556199|1675083017599|6610
