UniqueId,Name,DOB,Address
GBD27,Calvin Kennedy,02-21-20,Ap #873-6883 Dolor Rd.
UST78,Emmanuel Tucker,02-06-20,599-528 Ut St.
DRD58,Jameson Webster,07-17-20,560-3742 Malesuada Avenue
RVJ82,Thor Weeks,11-02-18,601-753 Pretium Av.
DEQ79,Hoyt Wagner,10-05-19,"Ap #589-7864 Vulputate, Av."
IZI82,Jeremy Sosa,10-31-18,Ap #411-6268 Interdum. Avenue
LRK69,Dillon Holloway,01-18-19,583 Rhoncus. St.
AYQ74,Vladimir Simmons,03-07-20,"P.O. Box 121, 9074 Primis Av."
RZN42,Mohammad Burris,07-19-19,"Ap #634-640 Auctor, Road"
ZHO45,Gregory Reed,04-29-19,695-1592 Felis Ave
AZZ32,Garth Booker,12-24-19,Ap #751-4565 Egestas. Road
IXX38,Garrett Haynes,10-28-19,"P.O. Box 384, 4269 Eget, Av."
REA04,Trevor Rush,12-28-19,8446 Convallis St.
MLU04,Kareem Paul,05-23-20,Ap #999-2757 Fusce Road
DFR26,Carter Mitchell,06-05-19,839-1782 Leo Ave
FIK37,Magee Chase,12-10-18,3172 Porttitor Street
VVE22,Len Harding,01-22-19,5119 Fusce Road
KNN48,Lucas Sheppard,04-02-19,643 Eget Ave
XTN35,Sylvester Valenzuela,06-04-20,Ap #421-5321 Blandit St.
BUK72,Todd Fowler,11-28-19,3156 Ornare Road
UZY61,Carlos Snyder,08-11-20,219-6770 Ante St.
MVF47,Raphael Mathews,02-04-19,Ap #290-1367 A Ave
PMM03,Colton Fitzgerald,07-02-20,6624 Sem. Av.
MGL86,Josiah Reed,05-12-19,"Ap #340-8405 Non, Rd."
ICJ77,Calvin Duran,10-04-19,Ap #770-2401 Ornare. Rd.
MFR88,Blaze Jenkins,06-29-19,"P.O. Box 173, 6586 Non, Rd."
OWC10,Harper Ochoa,07-23-20,Ap #510-2133 Id Av.
UTL71,Kadeem Dominguez,03-24-20,Ap #951-3523 Sociis Av.
WQU16,Walker Burris,03-31-19,5655 Egestas. St.
JTA49,Gavin Saunders,06-01-20,"9838 Et, Rd."
XHI54,Reese Mckay,02-23-20,Ap #552-2398 Varius Ave
EKZ19,Steven Cardenas,08-31-19,950-2455 Lacus. Street
QAU20,Cairo Huff,04-09-20,1615 Dui Av.
GPD02,Uriel Langley,03-21-20,796-6122 Tortor Av.
LSP14,Kaseem Byers,12-06-19,"P.O. Box 152, 643 Egestas. Avenue"
USM29,Conan Peck,03-12-19,"P.O. Box 349, 1307 Duis St."
